Item,Cost,Link,Place and Time
Миксер Воронеж для молочных коктейлей коктейль аппарат,3 826 209 сум,https://www.olx.uz/d/obyavlenie/mikser-voronezh-dlya-molochnyh-kokteyley-kokteyl-apparat-ID40ZnY.html,"Ташкент, Мирабадский район - 13 июня 2025 г."
"Лодка Бриз А260 надувное дно, зеленый Тонар",3 600 000 сум,https://www.olx.uz/d/obyavlenie/lodka-briz-a260-naduvnoe-dno-zelenyy-tonar-ID3NADq.html,"Ташкент, Чиланзарский район - 14 июня 2025 г."
Продам jetcar 210 сил,331 604 818 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodam-jetcar-210-sil-ID44kFP.html,"Ташкент, Мирзо-Улугбекский район - Сегодня в 06:11"
Лодка ПВХ «ТРИ АКУЛЫ» LTA 200 Доставка бесплатная,2 900 000 сум,https://www.olx.uz/d/obyavlenie/lodka-pvh-tri-akuly-lta-200-dostavka-besplatnaya-ID3v9tp.html,"Ташкент, Чиланзарский район - Сегодня в 16:24"
Надувной лодка(28/×128).,3 500 000 сум,https://www.olx.uz/d/obyavlenie/naduvnoy-lodka28-128-ID3y1uM.html,"Ташкент, Чиланзарский район - Сегодня в 16:23"
Продам лодку с мотором 5л.с,24 000 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodam-lodku-s-motorom-5l-s-ID3jK6y.html,"Ташкент, Сергелийский район - Сегодня в 13:50"
Мотор для лодки Hidea 5л.с,10 840 927 сумДоговорная,https://www.olx.uz/d/obyavlenie/motor-dlya-lodki-hidea-5l-s-ID3qAP0.html,"Ташкент, Сергелийский район - Сегодня в 13:50"
Isuzu vadavoz 2012-yil,310 000 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/isuzu-vadavoz-2012-yil-ID44HNk.html,Ромитан - Сегодня в 13:17
Самый большой INTEX 68351 надувной лодки (  351х145х48)(480кг). Беспла,2 999 000 сум,https://www.olx.uz/d/obyavlenie/samyy-bolshoy-intex-68351-naduvnoy-lodki-351h145h48480kg-bespla-ID3dzQF.html,"Ташкент, Мирабадский район - Сегодня в 13:04"
Gidrosikl sotiladi 1.8 mator 2013 yil zaochastlari qushib beriladi yur,95 655 236 сум,https://www.olx.uz/d/obyavlenie/gidrosikl-sotiladi-1-8-mator-2013-yil-zaochastlari-qushib-beriladi-yur-ID3Ztb4.html,Чарвак - Сегодня в 11:39
Gaz 53 yili 1991,100 000 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/gaz-53-yili-1991-ID3xP79.html,Касан - Сегодня в 11:04
"яхта, катамаран, лодка, плот",195 136 681 сумДоговорная,https://www.olx.uz/d/obyavlenie/yahta-katamaran-lodka-plot-ID3xhzH.html,"Ташкент, Юнусабадский район - Сегодня в 10:52"
Продается лодка Browning 3x20,5 000 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/prodaetsya-lodka-browning-3x20-ID3EvfK.html,Бухара - Сегодня в 10:21
Прес подборшик 2015-йил холати зур ишлаб турибди факат сомон боглаган,55 000 000 сумДоговорная,https://www.olx.uz/d/obyavlenie/pres-podborshik-2015-yil-holati-zur-ishlab-turibdi-fakat-somon-boglagan-ID44z0V.html,Нурафшан (Тойтепа) - 14 июня 2025 г.
Срочно Chevrolet Captiva 2011,140 000 000 сум,https://www.olx.uz/d/obyavlenie/srochno-chevrolet-captiva-2011-ID44lDr.html,"Ташкент, Яккасарайский район - Сегодня в 07:06"
Maxum американский катер,178 556 440 сум,https://www.olx.uz/d/obyavlenie/maxum-amerikanskiy-kater-ID3Nuiq.html,"Ташкент, Яккасарайский район - 15 июня 2025 г."
Продам коктейль аппарат Воронеж миксер аппарат для молочных коктейлей,2 295 726 сум,https://www.olx.uz/d/obyavlenie/prodam-kokteyl-apparat-voronezh-mikser-apparat-dlya-molochnyh-kokteyley-ID40SiG.html,"Ташкент, Мирабадский район - Сегодня в 10:18"
Стаканы идишлар для коктейль миксер аппарат Воронеж Россия,200 000 сум,https://www.olx.uz/d/obyavlenie/stakany-idishlar-dlya-kokteyl-mikser-apparat-voronezh-rossiya-ID40ZEf.html,"Ташкент, Мирабадский район - Сегодня в 10:18"
Kater neptun. 3.,126 264 911 сумДоговорная,https://www.olx.uz/d/obyavlenie/kater-neptun-3-ID430VE.html,Ташморе - Сегодня в 10:05
